"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.767947388E1,3.053827698E1,1.143564144E2,2.420346459E1,1.111424718E0,1.037066182E2,1.422308009E1,1.010568286E1
9.867944884E1,3.053827176E1,1.143564200E2,2.431678470E1,8.704825962E-1,1.076984943E2,1.422222705E1,1.010688336E1
9.967942262E1,3.053826692E1,1.143564271E2,2.412354019E1,7.872013997E-1,1.095608742E2,1.422136759E1,1.010809266E1
1.006793973E2,3.053826342E1,1.143564440E2,2.412777494E1,1.046063017E0,1.076499078E2,1.422061341E1,1.010915365E1
1.016793714E2,3.053826454E1,1.143564509E2,2.446238620E1,9.282896630E-1,1.012010413E2,1.422032364E1,1.010956127E1
1.026793445E2,3.053826049E1,1.143564549E2,2.408064872E1,8.261439547E-1,1.070928283E2,1.421785829E1,1.011302818E1
1.036793200E2,3.053825617E1,1.143564684E2,2.424746039E1,1.056676615E0,1.068991026E2,1.422129408E1,1.010819608E1
1.046792938E2,3.053825521E1,1.143564666E2,2.400477505E1,6.824856701E-1,1.065130194E2,1.421930098E1,1.011099960E1
1.056792675E2,3.053825165E1,1.143564746E2,2.413130820E1,7.116826730E-1,1.050725870E2,1.421830915E1,1.011239429E1
1.066792417E2,3.053825127E1,1.143564845E2,2.418578287E1,8.170221029E-1,1.040822775E2,1.421815074E1,1.011261702E1
1.076792144E2,3.053824934E1,1.143564891E2,2.421159063E1,6.162204841E-1,1.031409351E2,1.421829645E1,1.011241214E1
1.086791886E2,3.053824875E1,1.143565031E2,2.415672268E1,8.863216041E-1,9.850069630E1,1.421845682E1,1.011218666E1
1.096791618E2,3.053824532E1,1.143565122E2,2.434383654E1,8.584895815E-1,1.012715631E2,1.421861929E1,1.011195821E1
1.106791354E2,3.053823730E1,1.143565183E2,2.441071376E1,8.276722311E-1,1.092093782E2,1.421973128E1,1.011039444E1
1.116791102E2,3.053823218E1,1.143565299E2,2.462491838E1,9.178161154E-1,1.120168698E2,1.422009255E1,1.010988631E1
1.126790836E2,3.053822581E1,1.143565420E2,2.496012862E1,1.127970129E0,1.135756472E2,1.422117845E1,1.010835876E1
1.136790571E2,3.053821946E1,1.143565442E2,2.514433563E1,8.965650798E-1,1.221404226E2,1.422192674E1,1.010730593E1
1.146790318E2,3.053821264E1,1.143565484E2,2.485676103E1,8.122935846E-1,1.274726664E2,1.422060736E1,1.010916216E1
1.156790051E2,3.053820380E1,1.143565543E2,2.481314785E1,9.456558994E-1,1.314074581E2,1.421860790E1,1.011197422E1
1.166789792E2,3.053819545E1,1.143565573E2,2.504035896E1,8.305286346E-1,1.383329505E2,1.421816392E1,1.011259849E1
1.176789521E2,3.053818644E1,1.143565621E2,2.492728204E1,8.944440324E-1,1.440152540E2,1.421780199E1,1.011310733E1
1.186789266E2,3.053817557E1,1.143565593E2,2.468000993E1,7.963445409E-1,1.573173242E2,1.421799858E1,1.011283094E1
1.196788990E2,3.053816464E1,1.143565592E2,2.490825065E1,7.856820880E-1,1.665130125E2,1.421858447E1,1.011200717E1
1.206788726E2,3.053815498E1,1.143565563E2,2.520366590E1,8.564071096E-1,1.769103785E2,1.421790445E1,1.011296328E1
